episode_id,scenario,has_incident,had_leak,onset,base_alarm_t,base_detected,base_lead,base_false_alarm,base_alarm_minutes,model_alarm_t,model_detected,model_lead,model_false_alarm,model_alarm_minutes,model_peak_proba
133,compound_hidden,True,1,90,91.0,False,,False,14,81.0,True,9.0,False,20,0.9950000983115737
134,gas_leak_visible,False,1,-1,70.0,False,,True,8,,False,,False,0,0.3002290299997934
135,compound_hidden,False,1,-1,51.0,False,,True,2,,False,,False,0,0.9209624656295137
136,normal,False,0,-1,165.0,False,,True,2,,False,,False,0,0.43387992262797564
137,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.9077808560462917
138,compound_hidden,False,1,-1,139.0,False,,True,11,139.0,False,,True,1,0.9605374359993127
139,compound_hidden,False,1,-1,98.0,False,,True,6,108.0,False,,True,5,0.9912986958725859
140,compound_hidden,True,1,127,128.0,False,,False,48,119.0,True,8.0,False,44,0.9951450124777586
141,normal,False,0,-1,81.0,False,,True,4,,False,,False,0,0.1913150553363598
142,normal,False,0,-1,,False,,False,0,,False,,False,0,0.20023148096078194
143,maintenance_no_leak,False,0,-1,42.0,False,,True,2,,False,,False,0,0.8899828645917212
144,compound_hidden,True,1,84,67.0,True,17.0,False,113,74.0,True,10.0,False,76,0.9956540984488755
145,normal,False,0,-1,57.0,False,,True,2,,False,,False,0,0.5885204163651344
146,maintenance_no_leak,False,0,-1,,False,,False,0,,False,,False,0,0.8930984710842693
147,compound_hidden,True,1,75,77.0,False,,False,4,61.0,True,14.0,False,18,0.9938695123806622
148,normal,False,0,-1,38.0,False,,True,4,,False,,False,0,0.19693772430705728
149,compound_hidden,True,1,119,15.0,True,104.0,False,44,112.0,True,7.0,False,37,0.9955421562612663
150,maintenance_no_leak,False,0,-1,139.0,False,,True,2,,False,,False,0,0.9466795370881173
151,compound_hidden,True,1,80,76.0,True,4.0,False,46,69.0,True,11.0,False,40,0.9955638031441773
152,normal,False,0,-1,177.0,False,,True,2,,False,,False,0,0.39239430070447573
153,maintenance_no_leak,False,0,-1,10.0,False,,True,2,,False,,False,0,0.9361261255962968
154,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.3860982055065968
155,compound_hidden,False,1,-1,87.0,False,,True,4,79.0,False,,True,11,0.9914135505814922
156,gas_leak_visible,False,1,-1,124.0,False,,True,28,,False,,False,0,0.9482104733214126
157,normal,False,0,-1,210.0,False,,True,2,,False,,False,0,0.41202092976739685
158,normal,False,0,-1,,False,,False,0,,False,,False,0,0.3393870656696735
159,compound_hidden,True,1,178,153.0,True,25.0,False,59,165.0,True,13.0,False,23,0.9753463195694702
160,maintenance_no_leak,False,0,-1,,False,,False,0,85.0,False,,True,2,0.9774692029657194
161,compound_hidden,False,1,-1,,False,,False,0,,False,,False,0,0.8889433747857414
162,normal,False,0,-1,120.0,False,,True,2,,False,,False,0,0.3326107660221431
163,compound_hidden,False,1,-1,67.0,False,,True,10,63.0,False,,True,12,0.992829766070286
164,gas_leak_visible,False,1,-1,,False,,False,0,,False,,False,0,0.5306892284487277
165,gas_leak_visible,False,1,-1,51.0,False,,True,6,,False,,False,0,0.602681674166984
166,maintenance_no_leak,False,0,-1,62.0,False,,True,2,153.0,False,,True,1,0.9562959551340613
167,maintenance_no_leak,False,0,-1,46.0,False,,True,2,,False,,False,0,0.9340206433536358
